Cropping_situation;Crop;Asso_pure;Site;Year;Yields;N_fertilization_rate;Sowing_date;Sowing_density;PAWC;Soil_N_organic;Interrang;tot_rainfall;veg_rainfall;rep_rainfall;critical_rainfall;nb_days_60;nb_days_0;max_days_0
Sene_milt_2013_N7;Millet;pure;Senegal;2013;2.11753;140;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N8;Millet;pure;Senegal;2013;2.11767;160;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N9;Millet;pure;Senegal;2013;2.11778;180;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2014_N0;Millet;pure;Senegal;2014;1.35898;0;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N1;Millet;pure;Senegal;2014;1.65246;20;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N2;Millet;pure;Senegal;2014;1.91896;40;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N3;Millet;pure;Senegal;2014;2.14352;60;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N4;Millet;pure;Senegal;2014;2.19741;80;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N5;Millet;pure;Senegal;2014;2.19747;100;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N6;Millet;pure;Senegal;2014;2.19753;120;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N7;Millet;pure;Senegal;2014;2.19758;140;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N8;Millet;pure;Senegal;2014;2.19769;160;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2014_N9;Millet;pure;Senegal;2014;2.19773;180;230;1.23;191.250;0.03;1.3;266;261.2;4.8;10.8;0;57;14
Sene_milt_2015_N0;Millet;pure;Senegal;2015;1.11415;0;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_milt_2015_N1;Millet;pure;Senegal;2015;1.37492;20;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_milt_2015_N2;Millet;pure;Senegal;2015;1.61143;40;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_milt_2015_N3;Millet;pure;Senegal;2015;1.80895;60;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_milt_2015_N4;Millet;pure;Senegal;2015;1.89909;80;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_milt_2015_N5;Millet;pure;Senegal;2015;1.89919;100;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_milt_2015_N6;Millet;pure;Senegal;2015;1.89926;120;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
Sene_milt_2015_N7;Millet;pure;Senegal;2015;1.8993;140;230;1.23;191.250;0.03;1.3;400.5;379;21.5;47;1;55;13
